Aircraft_name;Legal_Basis;Aircraft_model_category;Minimum_Crew;Maximum_Passengers;MTOM_kg;ELA1_flag;ELA2_flag;Complex_aircraft;Number_of_engines;Count_of_Propellers;ICAO;Aircraft_Construction_Year;Initial_Registration_Date;Import_Previous_country;Engine_1_Manufacturer;Engine_1;Engine_2_Manufacturer;Engine_2;Engine_3_Manufacturer;Engine_3;Engine_4_Manufacturer;Engine_4;
"Renegade Spirit";"Annex I";"Ultralights";"1";"1";"450,00";"False";"False";"False";"1";"1";"ULAC";"2018";"15.02.2018";"";"Bombardier-Rotax GmbH";"Rotax 912 S3";"";"";"";"";"";"";
"Renegade Spirit Mod.";"Annex I";"Ultralights";"1";"1";"450,00";"False";"False";"False";"1";"1";"ULAC";"1990";"15.12.2003";"";"Bombardier-Rotax GmbH";"Rotax 912 S3";"";"";"";"";"";"";
"Renegade Spirit VW";"Annex I";"Ultralights";"1";"1";"450,00";"False";"False";"False";"1";"1";"ULAC";"1991";"30.08.1996";"";"Experimental";"Volkswagen VW 1800";"";"";"";"";"";"";
"RF 5 B Sperber ";"EASA";"Gliders and Powered Gliders";"1";"1";"700,00";"True";"False";"False";"1";"1";"GLID";"1971";"29.09.2005";"Germany";"Sauer-Motorenbau GmbH";"Sauer S 2100-1-SS1";"";"";"";"";"";"";
"RF 5 B Sperber Mod.";"Annex I";"Gliders and Powered Gliders";"1";"1";"680,00";"False";"False";"False";"1";"1";"GLID";"1972";"09.03.2009";"";"Experimental";"Volkswagen VW 2000";"";"";"";"";"";"";
"RF4D Mod.";"Annex I";"Gliders and Powered Gliders";"1";"0";"420,00";"False";"False";"False";"1";"1";"EXPE";"2014";"24.07.1969";"";"Volkswagen";"VW 1400";"";"";"";"";"";"";
"Rh”nlerche II";"Annex I";"Gliders and Powered Gliders";"1";"1";"400,00";"False";"False";"False";"0";"";"GLID";"1959";"25.06.1986";"";"";"";"";"";"";"";"";"";
"Rh”nlerche II  Motorlerche";"Annex I";"Gliders and Powered Gliders";"1";"0";"400,00";"False";"False";"False";"1";"1";"EXPE";"1961";"30.08.1961";"";"Experimental";"Volkswagen VW 1500S";"";"";"";"";"";"";
"Rh”nlerche II Motorlerche";"Annex I";"Gliders and Powered Gliders";"1";"";"430,00";"False";"False";"False";"1";"1";"GLID";"1961";"17.03.1989";"";"Pieper-Stark & Co. Motorenbau GmbH";"Stamo M.S. 1500/2";"";"";"";"";"";"";
"Rh”nlerche II Motorlerche";"Annex I";"Gliders and Powered Gliders";"1";"0";"430,00";"False";"False";"False";"1";"1";"GLID";"1959";"05.07.2007";"";"Experimental";"Volkswagen VW 1600";"";"";"";"";"";"";
"Rihin DR-107 One Design";"Annex I";"Airplanes";"1";"0";"610,00";"False";"False";"False";"1";"1";"EXPE";"1999";"10.06.2019";"Switzerland";"Textron Lycoming";"Lycoming IO-360-C1C8";"";"";"";"";"";"";
"Rockwell Commander 112";"EASA";"Airplanes";"1";"3";"1202,00";"False";"True";"False";"1";"1";"AC11";"1975";"16.07.2010";"";"Textron Lycoming";"Lycoming IO-360-C1D6";"";"";"";"";"";"";
"Rockwell Commander 112";"EASA";"Airplanes";"1";"3";"1202,00";"False";"True";"False";"1";"1";"AC11";"1975";"25.06.2020";"Canada";"Textron Lycoming";"Lycoming IO-360-C1D6";"";"";"";"";"";"";
"Rockwell Turbo Commander 690A";"EASA";"Airplanes";"1";"7";"4949,00";"False";"False";"False";"2";"2";"AC60";"1975";"24.03.1976";"";"Allied Signal Inc. Garrett Engine Div.";"Airesearch TPE331-5-251K";"Allied Signal Inc. Garrett Engine Div.";"Airesearch TPE331-5-251K";"";"";"";"";
"Rotorway Scorpion II";"Annex I";"Helicopters";"1";"1";"620,00";"False";"False";"False";"1";"";"SCOR";"1989";"31.10.1990";"";"Experimental";"Rw 152";"";"";"";"";"";"";
"S-12 Airaile Mod. Ultramarin";"Annex I";"Ultralights";"1";"1";"470,00";"False";"False";"False";"1";"1";"ULAC";"1991";"15.05.1995";"";"Bombardier-Rotax GmbH";"Rotax 912";"";"";"";"";"";"";
"S-6 Coyete II Mod";"Annex I";"Ultralights";"1";"1";"436,00";"False";"False";"False";"1";"1";"ULAC";"1990";"03.11.1994";"";"Experimental";"Suzuki 1300";"";"";"";"";"";"";
"S-6 Coyete II Mod";"Annex I";"Ultralights";"1";"1";"450,00";"False";"False";"False";"1";"1";"ULAC";"1990";"07.12.1995";"";"Experimental";"Volkswagen VW 1800";"";"";"";"";"";"";
"S-6 Coyote ES Mod.";"Annex I";"Ultralights";"1";"1";"495,00";"False";"False";"False";"1";"1";"ULAC";"1990";"23.06.1994";"";"Bombardier-Rotax GmbH";"Rotax 912 UL";"";"";"";"";"";"";
"S-6 Coyote II ";"Annex I";"Ultralights";"1";"1";"400,00";"False";"False";"False";"1";"1";"ULAC";"1990";"18.06.1996";"";"Bombardier-Rotax GmbH";"Rotax 582";"";"";"";"";"";"";
"S-6 Coyote II ES";"Annex I";"Ultralights";"1";"1";"426,00";"False";"False";"False";"1";"1";"ULAC";"1991";"04.07.1994";"";"Bombardier-Rotax GmbH";"Rotax 582 UL";"";"";"";"";"";"";
