#,REG,MAKE,MODEL,SERIES,MSN,OPERATOR NAME,OPERATOR ADDRESS
63,DQ-SEA,DEHAVILLAND,DHC-3T SINGLE OTTER,,397,PACIFIC ISLAND AIR LTD,"P.O. BOX 11417, NADI AIRPORT, LONDON AVE, CAAF COMPOUND, NADI, FIJI"
64,DQ-KPI,"VIKING AIRCRAFT LTD, CANADA",DHC- 6 TWIN OTTER,-400,871,KOKOMO RESORT LTD,"P.O. BOX 3558, LAMI, FIJI"
65,DQ-HPF,"PIPER AIRCRAFT, INC.",PA-31,-350,31-7612078,HELIPRO (FIJI) LTD,"P.O. BOX 2399, GOVERNMENT BUILDING, SUVA"
66,DQ-EMS,AGUSTA SPA,AGUSTA SPA AW109C,-,7664,HELIPRO FIJI LIMITED,"P.O. BOX 2399, GOVERNMENT BUILDING, SUVA"
67,DQ-AFO,EMBRAER,EMBRAER EMB 110-P1,,110-419,NORTHERN AIR SERVICE CHARTER LTD,"NAUSORI AIRPORT, HANGAR 2, HANGAR RD, P.O. BOX 1749, NAUSORI AIRPORT"
68,DQ-TLC,EMBRAER EMPRESA BASLIERA AERONAUTICA,EMBRAER EMB 110-P1,,110-417,NORTHERN AIR SERVICE CHARTER LTD,"NAUSORI AIRPORT, HANGAR 2, HANGAR RD, P.O. BOX 1749, NAUSORI AIRPORT"
69,DQ-TAL,DEHAVILLAND CANADA,DHC-2 BEAVER,,1255,TURTLE ISLAND AIRWAYS,"PRIVATE MAIL BAG, NADI AIRPORT"
70,DQ-YES,EMBRAER,EMBRAER EMB 110-P2,,110-307,NORTHERN AIR SERVICE CHARTER LTD,"NAUSORI AIRPORT, HANGAR 2, HANGAR RD, P.O. BOX 1749, NAUSORI AIRPORT"
71,DQ-SKI,THE CESSNA AIRCRAFT COMPANY,CESSNA 172N,100,17272539,IKALE AIR LTD,"P.O. BOX 3256, LAMI, FIJI"
,,,,,,,
72,DQ-TAM,DEHAVILLAND CANADA,DHC 2 MKI-BEAVER,,1433,TURTLE AIRWAYS LTD,"PRIVATE MAIL BAG, NADI AIRPORT, FIJI"
,,,,,,,
73,DQ-TAN,THE CESSNA AIRCRAFT COMPANY,CESSNA U206G,200,206 05574,TURTLE AIRWAYS LTD,"PRIVATE MAIL BAG, NADI AIRPORT, FIJI"
,,,,,,,
74,DQ-SLM,PILATUS BRITTEN NORMAN LTD,BN2A-26 ISLANDER,,605,PACIFIC ISLAND AIR LTD,"P.O. BOX 11417, NADI AIRPORT, LONDON AVE, CAAF COMPOUND, NADI, FIJI"
75,DQ-FSS,M.SQUARE INC USA,M.SQUARED SPRINT 1000 (MICROLIGHT),-,OOO604,SHARON WESTCOTT/SHILOH SORCE,"P.O. BOX 357, PACIFIC HARBOUR, FIJI"
76,DQ-JOY,CESSNA AIRCRAFT COMPANY,CESSNA 182H,100,18256462,JOYCE AVIATION (FIJI) LTD TRADING AS HELITOURS FIJI,"P.O. BOX 97, PORT DENARAU, FIJI"
77,DQ-FTD,THE NEW PIPER AIRCRAFT INC,PIPER SENECA PA34-200,-200,34-7350317,FIJI NATIONAL UNIVERSITY,"FNU, SCHOOL OF AVIATION STUDIES, NADI CAMPUS, FIJI"
78,DQ-JMJ,CESSNA AIRCRAFT CORPORATION,CESSNA 208B CARAVAN,200,208B1161,H.J.ROBIN TRUST,"P.O. BOX 11172, NADI AIRPORT, FIJI"
