MMSI,IMO,Status,Name,Callsign,Type,Build Date,Gross Tonnage,Flag,Owner IMO Number,ITU VIN
205582000,9537965,In Service,AL JARRAF,ORPX,Dredger,2011-07,"3,992",Belgium,5143043,
205583000,,Not Found,SV GEORGIY POBEDONOS,ONGT,,,,,,
205583900,B829673,In Service,MUSCADET,,,,,Belgium,,
205585000,,Not Found,SVYATITEL ALEKSIY,ONGQ,,,,,,
205586000,,Not Found,UNION WRESTLER,ORPZ,Supply,,,,,
205587000,,In Service,ST THAIS,ONGV,N/A,,,Belgium,,
205588000,,In Service,CONGO RIVER,ORPY,Dredger,,,Belgium,,
205589000,,Not Found,RUSICH-6,ONGW,,,,,,
205595000,9581526,In Service,ZEETIJGER,ORBO,Tug,2010,309,Belgium,,
205597000,,Not Found,SV. KNYAZ VLADIMIR,ONGY,,,,,,
205599000,,In Service,CONSTRUCTOR,ORQC,Supply,,,Belgium,,
205602000,,In Service,LAKE DOLPHIN,ONHA,Bulk Carrier,,,Belgium,,
205604000,9525704,In Service,VICTOR HORTA,ORQA,Dredger,2011-06,"5,666",Belgium,4069401,
205606000,,Not Found,BREUGHDG:0,ORQE,Dredger,,,,,
205607000,,In Service,MINERAL MANILA,ONHC,,,,Belgium,,
205608000,,Not Found,AGATE,ONHB,,,,,,
205609000,9292113,In Service,SOMBEKE,ONHD,LPG Tanker,2006-10,"25,994",Belgium,5059676,
205610000,,In Service,TIELRODE,ONHE,,,,Belgium,,
205611000,,In Service,TEMSE,ONHF,,,,Belgium,,
205612000,9237747,In Service,BASTOGNE,ONHG,LPG Tanker,2002-11,"22,902",Belgium,5059676,
205614000,,In Service,BIRYUZA,ONHI,,,,Belgium,,
205617000,,Not Found,LAZURITE,ONHK,,,,,,
205622000,9546617,In Service,AMAZONE,ORQJ,Dredger,2012-05,"3,992",Belgium,0134894,
205623000,,In Service,MALACHITE,ONHL,,,,Belgium,,
205629000,,Not Found,AMBIORIX,ORQO,Dredger,,,,,
205630000,,Not Found,NEPHRITE,ONHM,,,,,,
205633000,,Not Found,ONIKS,ONHN,,,,,,
205634000,,Not Found,SMIT ANGOLA,ORQP,Supply,,,,,
205638000,,Not Found,SERDOLIK,ONHO,,,,,,
205640000,,Not Found,CHAROITE,ONHP,,,,,,
205642000,9242766,In Service,UNION PRINCESS,ORQU,Anchor Handling Vessel	,2002-07,"2,258",Belgium,5111927,
205644000,9262742,In Service,UNION SOVEREIGN,ORQW,Anchor Handling Vessel	,2003-05,"2,263",Belgium,5800341,
205649000,,Not Found,ST MILA,ONHR,,,,,,
205650000,9680140,In Service,RAAN,ORBX,Pilot Vessel	,2014-04,53,Belgium,5490923,
205651000,9680138,In Service,HONTE,ORBW,Pilot Vessel	,2013-10,53,Belgium,5490923,
205652000,9680126,In Service,DEURLOO,ORBV,Pilot Vessel	,2013-08,53,Belgium,5490923,
205655000,9659103,In Service,WAASMUNSTER,ONHS,LPG Tanker,2014-04,"25,320",Belgium,5059676,
205656000,9116814,In Service,MARLEY,ONHT,General Cargo,1995-06,"2,061",Belgium,5979269,
